,Unnamed: 0,VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
20424,20424,2,3.0,16.58,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
20520,20520,2,1.0,17.4,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
20776,20776,2,2.0,16.32,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
21201,21201,2,2.0,14.3,5.0,230,132,1,97.0,0.0,0.0,20.25,0.0,1.0,121.5,2.5,0.0,0.75
21898,21898,7,3.0,17.03,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
22011,22011,2,2.0,16.83,2.0,230,132,1,70.0,0.0,0.5,15.0,6.94,1.0,96.69,2.5,0.0,0.75
22844,22844,2,2.0,17.3,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
23208,23208,2,2.0,16.75,2.0,230,132,2,70.0,0.0,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
23964,23964,2,3.0,17.03,2.0,230,132,1,70.0,0.0,0.5,0.01,6.94,1.0,81.7,2.5,0.0,0.75
24578,24578,2,1.0,17.19,2.0,230,132,1,70.0,0.0,0.5,0.01,6.94,1.0,81.7,2.5,0.0,0.75
24690,24690,2,2.0,17.29,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
24821,24821,2,1.0,16.48,5.0,230,132,1,90.0,0.0,0.0,22.85,20.0,1.0,137.1,2.5,0.0,0.75
25291,25291,2,1.0,16.56,5.0,230,132,2,85.0,0.0,0.0,0.0,0.0,1.0,89.25,2.5,0.0,0.75
